item,rank,gender,isIdentity,hasref,refitem,exurl,wmurl,wmproj
Q105747185,NormalRank,Q6581097,true,false,,,,
Q108541102,NormalRank,Q6581097,true,false,,,,
Q11349827,NormalRank,Q6581097,true,false,,,,
Q113501705,,,,false,,,,
Q15074172,NormalRank,Q6581097,true,true,false,false,false,false
Q1624201,NormalRank,Q6581097,true,false,,,,
Q18200512,NormalRank,Q6581072,true,true,false,false,false,true
Q307627,NormalRank,Q6581097,true,true,false,false,false,true
Q39082780,NormalRank,Q6581097,true,false,,,,
Q39082869,NormalRank,Q6581097,true,false,,,,
Q39083269,NormalRank,Q6581097,true,false,,,,
Q39083291,NormalRank,Q6581097,true,false,,,,
Q39083354,NormalRank,Q6581097,true,false,,,,
Q39083355,NormalRank,Q6581097,true,false,,,,
Q39386162,NormalRank,Q6581097,true,false,,,,
Q39387161,NormalRank,Q6581097,true,false,,,,
Q39388887,NormalRank,Q6581097,true,false,,,,
Q39394633,NormalRank,Q6581097,true,false,,,,
Q4084062,NormalRank,Q6581097,true,true,false,false,false,false
Q4147150,NormalRank,Q6581097,true,true,false,false,false,false
Q4152150,NormalRank,Q6581097,true,true,false,false,false,false
Q4279946,NormalRank,Q6581097,true,true,false,false,false,false
Q4307790,NormalRank,Q6581097,true,true,false,false,false,false
Q4321775,NormalRank,Q6581072,true,true,false,false,false,false
Q4321775,NormalRank,Q6581072,true,true,false,false,false,true
Q4328063,NormalRank,Q6581072,true,true,false,false,false,false
Q4524650,NormalRank,Q6581097,true,true,false,false,false,false
Q47677231,NormalRank,Q6581097,true,false,,,,
Q4767735,NormalRank,Q6581097,true,false,,,,
Q48962284,NormalRank,Q6581097,true,false,,,,
Q51874548,NormalRank,Q6581097,true,false,,,,
Q811058,NormalRank,Q6581097,true,true,false,false,false,false
Q82918,NormalRank,Q6581097,true,true,false,false,false,true
Q95557031,NormalRank,Q6581072,true,false,,,,
Q57530,NormalRank,Q6581097,true,true,false,false,false,true
Q58141,NormalRank,Q6581097,true,true,false,false,false,false
Q58141,NormalRank,Q6581097,true,true,false,false,false,true
