position,positionLabel,country,countryLabel,jurisdiction,jurisdictionLabel,inception,abolished,predecessor,predecessorLabel,successor,successorLabel,deputy,deputyLabel,list,listLabel
Q1155759,President of Turkmenistan,Q874,Turkmenistan,Q874,Turkmenistan,1990-11-02,,,,,,,,Q20046227,list of presidents of Turkmenistan
Q4185705,Vice President of Turkmenistan,Q874,Turkmenistan,Q874,Turkmenistan,1992-01-01,,,,,,,,,
Q21328577,Member of the Assembly of Turkmenistan,Q874,Turkmenistan,Q874,Turkmenistan,,,,,,,,,,
Q31440057,Turkmen Ambassador to China,,,,,,,,,,,,,,
Q38250680,Turkmen Ambassador to the United States,,,,,,,,,,,,,,
Q95387135,First Lady of Turkmenistan,Q874,Turkmenistan,Q874,Turkmenistan,1990-11-02,,,,,,,,,
Q108837394,Chairman of the Assembly of Turkmenistan,Q874,Turkmenistan,,,1993-01-01,,,,,,,,Q4376666,list of Chairmen of the Assembly of Turkmenistan
Q108837408,Minister of Foreign Affairs of Turkmenistan,Q874,Turkmenistan,Q874,Turkmenistan,,,,,,,,,Q4294954,list of Turkmenistan foreign ministers
Q110678081,ambassador of Turkmenistan to Turkey,Q43,Turkey,,,,,,,,,,,,
Q113501617,Minister of Defense of Turkmenistan,,,Q874,Turkmenistan,,,,,,,,,,
Q113501623,Minister of Internal Affairs,,,Q874,Turkmenistan,,,,,,,,,,
Q113501646,Minister of Finance (Turkmenistan),,,Q874,Turkmenistan,,,,,,,,,,
Q113501685,Minister of Finance and Economy of Turkmenistan,,,Q874,Turkmenistan,,,,,,,,,,
